20200916
250,450
299,450
338,420
387,420
72,408
275,386
19,368
437,360
168,323
275,310
224,309
56,298
112,298
450,270
6,265
327,182
382,182
437,182
350,157
300,132
250,122
450,38
250,27
356,353
374,268
148,94

20200923
4,93
62,97
87,159
94,27
154,110
166,36
244,77
292,5
354,79
408,79
380,16
292,148
344,202
411,213
361,332
436,337
442,393
353,443
198,190
253,228
235,297
148,247
51,257
139,307
139,361
26,331
2,388
22,447
86,409
142,186
211,130
299,63
392,136
287,290
140,415
206,388
301,414
371,388

20201019
22,19
9,75
15,148
1,208
126,58
129,169
80,287
108,388
52,435
204,307
258,290
280,375
406,375
274,185
371,170
428,232
446,155
393,97
440,25
40,368
287,70
339,101
324,268
284,430
338,406

20201109
1,70
53,13
55,93
10,187
108,151
166,91
68,246
125,226
182,357
35,367
264,252
275,161
330,161
269,104
336,101
259,34
358,6
440,11
424,121
436,191
339,310
395,274
448,308
262,445
316,398
383,380
443,403
178,203
260,365
380,222

20200907
25,127
94,89
178,39
34,237
5,378
100,269
109,343
178,307
168,408
225,363
262,437
348,325
363,414
421,271
447,394
154,194
228,230
309,227
242,156
295,101
361,160
312,28
424,30
438,107
6,302
60,302
74,446
107,139
175,119
365,64
296,371
366,259
434,164

